Project,Task,Rank Min,Rank Max,Alpha Min,Alpha Max,LR,Rank Avg,Median ± Std
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.02,20.0,69.06 ± 0.00
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.002,20.0,68.87 ± 0.18
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.01,20.0,68.61 ± 1.20
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.002,20.0,68.32 ± 1.23
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.02,20.0,68.06 ± 0.08
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.01,20.0,67.78 ± 1.27
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.01,20.0,62.60 ± 2.40
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.02,20.0,60.72 ± 0.00
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.002,20.0,59.85 ± 1.57
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.02,20.0,67.32 ± 0.50
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.01,20.0,67.29 ± 1.42
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.002,20.0,65.83 ± 1.14
adalora_rank_start_40_rank_20_quadratic,cola,5.0,50.0,0.5,3.0,0.02,20.0,60.70 ± 1.81
adalora_rank_start_40_rank_20_quadratic,cola,5.0,50.0,0.5,3.0,0.002,20.0,59.60 ± 0.73
adalora_rank_start_40_rank_20_quadratic,cola,5.0,50.0,0.5,3.0,0.01,20.0,59.50 ± 1.19
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.02,20.0,67.32 ± 0.50
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.01,20.0,67.29 ± 1.42
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.002,20.0,65.83 ± 1.14
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.01,20.0,62.60 ± 2.40
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.02,20.0,60.72 ± 0.00
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.002,20.0,59.85 ± 1.57
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.01,20.0,62.60 ± 2.40
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.02,20.0,60.72 ± 0.00
adalora_rank_start_40_rank_20_random,cola,5.0,50.0,0.5,3.0,0.002,20.0,59.85 ± 1.57
adalora_rank_start_40_rank_20_quadratic,cola,5.0,50.0,0.5,3.0,0.02,20.0,60.70 ± 1.81
adalora_rank_start_40_rank_20_quadratic,cola,5.0,50.0,0.5,3.0,0.002,20.0,59.60 ± 0.73
adalora_rank_start_40_rank_20_quadratic,cola,5.0,50.0,0.5,3.0,0.01,20.0,59.50 ± 1.19
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.02,20.0,67.32 ± 0.50
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.01,20.0,67.29 ± 1.42
adalora_rank_start_40_rank_20_random,cola,5.0,40.0,0.5,3.0,0.002,20.0,65.83 ± 1.14
