Project,Task,Rank Min,Rank Max,Alpha Min,Alpha Max,LR,Rank Avg,Median ± Std
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,17.0,53.65 ± 0.45
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,17.0,53.23 ± 0.75
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,17.0,53.12 ± 0.67
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,17.0,53.65 ± 0.45
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,17.0,53.23 ± 0.75
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,17.0,53.12 ± 0.67
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,17.0,53.65 ± 0.45
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,17.0,53.23 ± 0.75
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,17.0,53.12 ± 0.67
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,17.0,53.65 ± 0.45
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,17.0,53.23 ± 0.75
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,17.0,53.12 ± 0.67
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,17.0,53.65 ± 0.45
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,17.0,53.23 ± 0.75
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,17.0,53.12 ± 0.67
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,17.0,53.65 ± 0.45
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,17.0,53.23 ± 0.75
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,17.0,53.12 ± 0.67
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,17.0,53.65 ± 0.45
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,17.0,53.23 ± 0.75
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,17.0,53.12 ± 0.67
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,,68.60 ± 1.07
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,,67.78 ± 1.18
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,,67.69 ± 1.84
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,,68.60 ± 1.07
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,,67.78 ± 1.18
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,,67.69 ± 1.84
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,17.0,53.65 ± 0.45
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,17.0,53.23 ± 0.75
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,17.0,53.12 ± 0.67
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.002,,67.71 ± 1.25
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.01,,67.69 ± 1.20
adalora_memory_to_double_memory_3_5,cola,5.0,30.0,0.5,3.0,0.02,,66.96 ± 1.13
